ページ番号,設問文章,説明文,選択肢,複数回答,その他回答,自由記述,ジャンプ先ページ番号マップ
,【必須項目】上記説明を全て読み、理解した上で本調査への協力をご了承いただける場合は、「了承して、回答する」を選択してください。,回答しなくても不利益になることはありません。いつでも回答を中断することができます。「回答しない」を選択された場合は、任意で本調査へのメッセージ(ご意見等)を送ることができるセクションに進みます。,"了承して、回答する,回答しない",0,0,0,"[null,142]"
7,【必須項目】自分のことをアロマンティック／アセクシュアル・スペクトラム(Aro/Ace)にあてはまると思いますか。,本調査では、アロマンティック／アセクシュアル・スペクトラムを、アセクシュアル、アロマンティック、グレイ(ア)セクシュアル、グレイ(ア)ロマンティック、デミセクシュアル、デミロマンティック、リスセクシュアル、リスロマンティック、その他周辺のセクシュアリティという意味で用います。,"はい,いいえ",0,0,0,"[null,null]"
9,【必須項目】回答している今日現在の年齢を選択してください。,本調査は13歳以上の方を対象としているため、選択肢は13以上の数字にしています。,"13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99",0,0,0,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]"
9,現在の居住地を選択してください。,,"日本以外,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県",0,0,0,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]"
12,現在、学生ですか。,仕事をしながら学校に通っている方は「はい」を選択してください。,"はい,いいえ",0,0,0,"[null,null]"
12,最後に通った学校(学生の方は現在通っている学校)の種類を選択してください。,卒業しなかった場合も、最後に「入学し、通ったことがある」学校を選択してください。,"小・中学校,高校,専門・専修学校(高卒後),短大・高専,大学,大学院",0,1,0,"[null,null,null,null,null,null]"
12,現在、収入をともなう仕事をしていますか。,パート・アルバイト、 自営業の手伝いや内職も含みます。 ,"仕事を持ち、働いている,在職しているが、病気・育児などで休職中,仕事をしていない",0,0,0,"[null,null,null]"
16,出生時の性別と、現在自分が捉えている性別が「一致」していると思いますか。,「出生時の性別」とは、出生届や出生時の戸籍などに記載された性別のことを指します。,"思う,思わない,わからない",0,0,0,"[18,20,20]"
18,出生時の性別を、以下から選択してください。,「出生時の性別」とは、出生届や出生時の戸籍などに記載された性別のことを指します。,"女性,男性",0,0,0,"[23,23]"
20,現在、自分の性別についてどのように捉えていますか。以下の中から一番近いものを選択してください。,,"女性,どちらかといえば女性,どちらかといえば男性,男性,女性と男性の中間,女性と男性の両方,性別がないと感じる,状況などによって変わる・揺れ動く,わからない",0,1,0,"[null,null,null,null,null,null,null,null,null]"
