ページ番号,設問番号,設問文章,説明文,選択肢,矛盾が発生するやつ,他の選択肢と押すと矛盾する選択肢,残す選択肢,理由
20,L,以下の選択肢に、自分を表現する言葉として使っているものがあれば全て選択してください。(複数回答可),,"トランスジェンダー,ノンバイナリー,Xジェンダー,どれも使っていない",TRUE,どれも使っていない,どれも使っていない,Aro/AceってLGBTって関係ないっすよね？というコメントに対して、「いや、これだけAro/Aceコミュニティ内にはトランスがいるぞ」と言いたいので、その逆にする（保守的数字、以下同じ）
62,AQ,これまでにカミングアウトした相手は誰ですか。(複数回答可),,"パートナーおよび元パートナー,学校の友人(同級生、先輩、後輩),インターネットで知り合った友人,上記以外の友人,職場の人(上司以外),上司,母親,父親,きょうだい,他の家族、親族,教師・学校職員,カウンセラー、相談員,医療関係者",FALSE,,,
64,AR,カミングアウトをした理由として、以下の選択肢にあてはまるものがあれば全て選択してください。(複数回答可),,"伝えないことで、嘘をついてるように感じたから,セクシュアリティを隠すことにストレスを感じたから,自分のことをより深く相手に知ってもらいたかったから,自分のセクシュアリティについて、当事者ではない人も正しく知ってほしかったから,自分の生き方、ライフプランを尊重してほしかったから,恋愛／性愛感情を自分に向けてほしくなかったから,恋愛／性愛に関連する話題を自分に質問してほしくなかったから,告白を断りたかったから,性的な行為をしたくなかったから,近いセクシュアリティの人と繋がりたかったから,深い理由はなかった",TRUE,深い理由はなかった,深い理由はなかった,カミングアウトは大変なことで、当事者のしんどさをあらわすものでもあるので理由を重めに表現したい
85,BC,法律上、どのような関係の子どもを望みますか。以下の中からあてはまるものを全て選択してください。(複数回答可),選択肢にあてはまるものがない場合は「その他」にお書きください。,"実子,養子,里子",FALSE,,,
90,BF,以下のうち、嫌悪感を覚える行為はどれですか。(複数回答可),,"異性間の恋愛作品の鑑賞,男性同士の恋愛作品の鑑賞,女性同士の恋愛作品の鑑賞,他の人の恋愛話を聞く,自分の恋愛話を聞かれる,どれにも嫌悪感を覚えない",TRUE,どれにも嫌悪感を覚えない,他の選択肢,Aro/Aceと嫌悪感は別物であると表現したい
90,BG,以下のうち、嫌悪感を覚える行為はどれですか。(複数回答可),,"異性間の性的作品の鑑賞,男性同士の性的作品の鑑賞,女性同士の性的作品の鑑賞,他の人の性的な話を聞く,自分の性的な話を聞かれる,どれにも嫌悪感を覚えない",TRUE,どれにも嫌悪感を覚えない,他の選択肢,Aro/Aceと嫌悪感は別物であると表現したい
90,BH,以下のうち、「誰からであっても(自分が相手に惹かれていても)」嫌悪感を覚える行為はどれですか。(複数回答可),,"恋愛感情を向けられる,交際を申し込まれる,自身に対する恋愛感情があることを告げられる,性的な目で見られる,性的な誘いを受ける,どれにも嫌悪感を覚えない",TRUE,どれにも嫌悪感を覚えない,他の選択肢,Aro/Aceと嫌悪感は別物であると表現したい
90,BI,以下のうち、「誰からであっても(自分が相手に惹かれていても)」嫌悪感を覚える行為はどれですか。(複数回答可),,"握手する,手をつなぐ,ハグをする,キスをする,どれにも嫌悪感を覚えない",TRUE,どれにも嫌悪感を覚えない,他の選択肢,Aro/Aceと嫌悪感は別物であると表現したい
95,BJ,以下の選択肢から、恋愛／性愛感情が含まれない“愛情”を感じる対象があれば、あてはまるものを全て選択してください。(複数回答可),選択肢にない対象がいれば「その他」にお書きください。,"家族,友人,パートナー,“推し”、応援している人・キャラクターなど,職場関係の人,ペット・動物,愛情を感じる対象はいない",TRUE,愛情を感じる対象はいない,愛情を感じる対象はいない,Aro/Aceにも愛情があると表現したい（冷たい、愛情がないという偏見に対抗したい）
99,BL,Aro/Aceに関する相談に期待する／していたのはどのようなことですか。あてはまるものを全て選択してください。(複数回答可),,"とくになかった,自分のセクシュアリティが何にあてはまるか聞きたかった,自分のあり方を肯定してほしかった,他のAro/Aceと繋がる方法を知りたかった,Aro/Aceに関する情報を知りたかった,パートナーとの関係を相談したかった,家族との関係を相談したかった,一人で生きていく方法を知りたかった,パートナーを作る方法を知りたかった,Aro/Aceとして生きる将来像、ライフプランを相談したかった,健康上の問題があるか相談したかった",TRUE,とくになかった,とくになかった,Aro/Ace相談にはたくさん期待やニーズがあるのにもかかわらず、問題がたくさんあると言いたい
103,BN,Aro/Aceについて相談をした窓口やカウンセラー、医療機関等は以下のどれにあてはまりますか。(複数回答可),,"心理カウンセラー,LGBTQ専門相談,精神科・心療内科,産婦人科・泌尿器科,キャリア相談,いのちの電話,よりそいホットライン,女性相談・男性相談,スクールカウンセラーや学生相談室,自治体などのよろず相談,法律相談",FALSE,,,
108,BQ,相談をした際に、以下のことを経験したことはありますか。あてはまるものを全て選択してください。(複数回答可),,"とくになかった,相談した相手がAro/Aceについて十分に知識を持っていなかった,将来、結婚する／子どもを育てる前提で話された,“恋愛”をすると良いと助言された,性行為を(いつか)する前提で話された,自分の悩みの原因が、生育歴や家族との関係性にあると決めつけられた,健康上の問題があると決めつけられた,説明ばかり求められ、本題の相談ができなかった",TRUE,とくになかった,とくになかった,Aro/Ace相談には課題があると言いたい
