,説文一覧
A,タイムスタンプ
B,【必須項目】上記説明を全て読み、理解した上で本調査への協力をご了承いただける場合は、「了承して、回答する」を選択してください。
C,【必須項目】自分のことをアロマンティック／アセクシュアル・スペクトラム(Aro/Ace)にあてはまると思いますか。
D,【必須項目】回答している今日現在の年齢を選択してください。
E,現在の居住地を選択してください。
F,現在、学生ですか。
G,最後に通った学校(学生の方は現在通っている学校)の種類を選択してください。
H,現在、収入をともなう仕事をしていますか。
I,出生時の性別と、現在自分が捉えている性別が「一致」していると思いますか。
J,出生時の性別を、以下から選択してください。
K,現在、自分の性別についてどのように捉えていますか。以下の中から一番近いものを選択してください。
L,以下の選択肢に、自分を表現する言葉として使っているものがあれば全て選択してください。(複数回答可)
M,以下の選択肢のうち、自認しているものはどれですか。
N,上で選択したセクシュアリティの自認の強さを１～５で表現するといくつになりますか。
O,自分のことを「ノンセクシュアル」という言葉で表現しますか、または認識していますか。
P,自分のことを「クワロマンティック」という言葉で表現しますか、または認識していますか。
Q,特定の人と「付き合いたい」と思うことがありますか。
R,特定の人を独占したいと感じますか。
S,特定の人に胸が“ドキドキ”する感情を抱くことがありますか。
T,自分が登場する、恋愛的な空想をすることがありますか。
U,自分が登場しない、恋愛的な空想をすることがありますか。
V,特定の人のことを深く知りたいと思いますか。
W,特定の人に自分のことを深く知ってほしいと思いますか。
X,自認する前に恋愛感情を抱いた相手としてもっとも近いものを選択してください。
Y,自認してから恋愛感情を抱いた相手としてもっとも近いものを選択してください。
Z,以下の選択肢のうち、自認しているものはどれですか。
AA,上で選択したセクシュアリティの自認の強さを１～５で表現するといくつになりますか。
AB,他の人と性行為をしようと思うことがありますか。
AC,"自分に""性欲""があると思いますか。"
AD,“ムラムラ”する感覚を覚えることがありますか。
AE,自分が登場する、性的な空想をすることがありますか。
AF,自分が登場しない、性的な空想をすることがありますか。
AG,他の人を性的な意味で魅力的だと感じることがありますか。
AH,他の人を性的な意味で魅力的だと感じる際、その人と性的な行為をしたいと思いますか。
AI,自認する前に性愛感情を抱いた相手としてもっとも近いものを選択してください。
AJ,自認してから性愛感情を抱いた相手としてもっとも近いものを選択してください。
AK,何歳の時にはじめて、自分の恋愛または性愛のあり方が周りと違うと感じましたか。周りとの違いを感じたことがない場合は、0と答えてください。
AL,何歳の時にはじめて、Aro/Ace(のどれかのセクシュアリティ)について知りましたか。
AM,はじめてAro/Ace(のどれかのセクシュアリティ)について知ったのはどこですか。
AN,上記の回答について、詳しく覚えている方は以下に具体的にお書きください。
AO,何歳のときにAro/Ace(のどれかのセクシュアリティ)であると自認しましたか。
AP,これまでに自分がAro/Ace(のどれかのセクシュアリティ)であることをカミングアウトしたことはありますか。
AQ,これまでにカミングアウトした相手は誰ですか。(複数回答可)
AR,カミングアウトをした理由として、以下の選択肢にあてはまるものがあれば全て選択してください。(複数回答可)
AS,カミングアウトをした時の相手の反応はどのようなものでしたか。詳しく覚えている方は(もし可能でしたら)自由にお書きください。
AT,これまでに何回ぐらい不特定多数のAro/Aceが集まる交流会に参加したことがありますか。
AU,過去に恋人関係になった人は何人いますか。
AV,恋愛的かつ性的な関係のパートナー等を望みますか。一番近いものを選択してください。
AW,どの性別の(恋愛的かつ性的な関係の)パートナー等を望みますか。以下から選択してください。
AX,恋愛的でも性的でもない関係のパートナー等を望みますか。一番近いものを選択してください。
AY,どの性別の(恋愛的でも性的でもない関係の)パートナー等を望みますか。以下から選択してください。
AZ,(戸籍上異性との)法律婚を望みますか。
BA,日本で(戸籍上)同性間の婚姻が法制化された場合、その制度の利用を望みますか。
BB,子どもを望みますか。
BC,法律上、どのような関係の子どもを望みますか。以下の中からあてはまるものを全て選択してください。(複数回答可)
BD,Aro/Aceを描く、またはAro/Aceのキャラクターが登場する作品を望みますか。
BE,上記の回答に関して補足、意見などがあれば自由にお書きください。
BF,以下のうち、嫌悪感を覚える行為はどれですか。(複数回答可)
BG,以下のうち、嫌悪感を覚える行為はどれですか。(複数回答可)
BH,以下のうち、「誰からであっても(自分が相手に惹かれていても)」嫌悪感を覚える行為はどれですか。(複数回答可)
BI,以下のうち、「誰からであっても(自分が相手に惹かれていても)」嫌悪感を覚える行為はどれですか。(複数回答可)
BJ,以下の選択肢から、恋愛／性愛感情が含まれない“愛情”を感じる対象があれば、あてはまるものを全て選択してください。(複数回答可)
BK,これまでにAro/Aceについて相談窓口やカウンセラー、医療機関等に相談しようと思ったことがありますか。
BL,Aro/Aceに関する相談に期待する／していたのはどのようなことですか。あてはまるものを全て選択してください。(複数回答可)
BM,これまでに実際にAro/Aceについて相談窓口やカウンセラー、医療機関等に相談したことがありますか。
BN,Aro/Aceについて相談をした窓口やカウンセラー、医療機関等は以下のどれにあてはまりますか。(複数回答可)
