"tab_code","表章事項","cat01_code","国籍総数か日本人","cat02_code","男女","cat03_code","年齢","area_code","全国～人口50万以上の市","time_code","時間軸（年次）","unit","value"
"2020_01","人口","0","国籍総数","0","総数","001","0歳","00000","全国","2020000000","2020年","人","831824"
"2020_01","人口","0","国籍総数","0","総数","002","1歳","00000","全国","2020000000","2020年","人","866525"
"2020_01","人口","0","国籍総数","0","総数","003","2歳","00000","全国","2020000000","2020年","人","910005"
"2020_01","人口","0","国籍総数","0","総数","004","3歳","00000","全国","2020000000","2020年","人","934063"
"2020_01","人口","0","国籍総数","0","総数","005","4歳","00000","全国","2020000000","2020年","人","973665"
"2020_01","人口","0","国籍総数","0","総数","006","5歳","00000","全国","2020000000","2020年","人","998664"
"2020_01","人口","0","国籍総数","0","総数","007","6歳","00000","全国","2020000000","2020年","人","996576"
"2020_01","人口","0","国籍総数","0","総数","008","7歳","00000","全国","2020000000","2020年","人","1020657"
"2020_01","人口","0","国籍総数","0","総数","009","8歳","00000","全国","2020000000","2020年","人","1024325"
"2020_01","人口","0","国籍総数","0","総数","010","9歳","00000","全国","2020000000","2020年","人","1048871"
"2020_01","人口","0","国籍総数","0","総数","011","10歳","00000","全国","2020000000","2020年","人","1057736"
"2020_01","人口","0","国籍総数","0","総数","012","11歳","00000","全国","2020000000","2020年","人","1063185"
"2020_01","人口","0","国籍総数","0","総数","013","12歳","00000","全国","2020000000","2020年","人","1083113"
"2020_01","人口","0","国籍総数","0","総数","014","13歳","00000","全国","2020000000","2020年","人","1077379"
"2020_01","人口","0","国籍総数","0","総数","015","14歳","00000","全国","2020000000","2020年","人","1069104"
"2020_01","人口","0","国籍総数","0","総数","016","15歳","00000","全国","2020000000","2020年","人","1070370"
"2020_01","人口","0","国籍総数","0","総数","017","16歳","00000","全国","2020000000","2020年","人","1113159"
"2020_01","人口","0","国籍総数","0","総数","018","17歳","00000","全国","2020000000","2020年","人","1123237"
"2020_01","人口","0","国籍総数","0","総数","019","18歳","00000","全国","2020000000","2020年","人","1151389"
"2020_01","人口","0","国籍総数","0","総数","020","19歳","00000","全国","2020000000","2020年","人","1159285"
"2020_01","人口","0","国籍総数","0","総数","021","20歳","00000","全国","2020000000","2020年","人","1177049"
"2020_01","人口","0","国籍総数","0","総数","022","21歳","00000","全国","2020000000","2020年","人","1174456"
"2020_01","人口","0","国籍総数","0","総数","023","22歳","00000","全国","2020000000","2020年","人","1193935"
"2020_01","人口","0","国籍総数","0","総数","024","23歳","00000","全国","2020000000","2020年","人","1193983"
"2020_01","人口","0","国籍総数","0","総数","025","24歳","00000","全国","2020000000","2020年","人","1191883"
"2020_01","人口","0","国籍総数","0","総数","026","25歳","00000","全国","2020000000","2020年","人","1210380"
"2020_01","人口","0","国籍総数","0","総数","027","26歳","00000","全国","2020000000","2020年","人","1212167"
"2020_01","人口","0","国籍総数","0","総数","028","27歳","00000","全国","2020000000","2020年","人","1192761"
"2020_01","人口","0","国籍総数","0","総数","029","28歳","00000","全国","2020000000","2020年","人","1209983"
"2020_01","人口","0","国籍総数","0","総数","030","29歳","00000","全国","2020000000","2020年","人","1206673"
"2020_01","人口","0","国籍総数","0","総数","031","30歳","00000","全国","2020000000","2020年","人","1234225"
"2020_01","人口","0","国籍総数","0","総数","032","31歳","00000","全国","2020000000","2020年","人","1258775"
"2020_01","人口","0","国籍総数","0","総数","033","32歳","00000","全国","2020000000","2020年","人","1299569"
"2020_01","人口","0","国籍総数","0","総数","034","33歳","00000","全国","2020000000","2020年","人","1335672"
"2020_01","人口","0","国籍総数","0","総数","035","34歳","00000","全国","2020000000","2020年","人","1356353"
"2020_01","人口","0","国籍総数","0","総数","036","35歳","00000","全国","2020000000","2020年","人","1407719"
"2020_01","人口","0","国籍総数","0","総数","037","36歳","00000","全国","2020000000","2020年","人","1456774"
"2020_01","人口","0","国籍総数","0","総数","038","37歳","00000","全国","2020000000","2020年","人","1476522"
"2020_01","人口","0","国籍総数","0","総数","039","38歳","00000","全国","2020000000","2020年","人","1478920"
"2020_01","人口","0","国籍総数","0","総数","040","39歳","00000","全国","2020000000","2020年","人","1491632"
"2020_01","人口","0","国籍総数","0","総数","041","40歳","00000","全国","2020000000","2020年","人","1558309"
"2020_01","人口","0","国籍総数","0","総数","042","41歳","00000","全国","2020000000","2020年","人","1596338"
"2020_01","人口","0","国籍総数","0","総数","043","42歳","00000","全国","2020000000","2020年","人","1656969"
"2020_01","人口","0","国籍総数","0","総数","044","43歳","00000","全国","2020000000","2020年","人","1699648"
"2020_01","人口","0","国籍総数","0","総数","045","44歳","00000","全国","2020000000","2020年","人","1779813"
"2020_01","人口","0","国籍総数","0","総数","046","45歳","00000","全国","2020000000","2020年","人","1852394"
"2020_01","人口","0","国籍総数","0","総数","047","46歳","00000","全国","2020000000","2020年","人","1956602"
"2020_01","人口","0","国籍総数","0","総数","048","47歳","00000","全国","2020000000","2020年","人","1991137"
"2020_01","人口","0","国籍総数","0","総数","049","48歳","00000","全国","2020000000","2020年","人","1954205"
"2020_01","人口","0","国籍総数","0","総数","050","49歳","00000","全国","2020000000","2020年","人","1895955"
"2020_01","人口","0","国籍総数","0","総数","051","50歳","00000","全国","2020000000","2020年","人","1837431"
"2020_01","人口","0","国籍総数","0","総数","052","51歳","00000","全国","2020000000","2020年","人","1807894"
"2020_01","人口","0","国籍総数","0","総数","053","52歳","00000","全国","2020000000","2020年","人","1764215"
"2020_01","人口","0","国籍総数","0","総数","054","53歳","00000","全国","2020000000","2020年","人","1758955"
"2020_01","人口","0","国籍総数","0","総数","055","54歳","00000","全国","2020000000","2020年","人","1371356"
"2020_01","人口","0","国籍総数","0","総数","056","55歳","00000","全国","2020000000","2020年","人","1689290"
"2020_01","人口","0","国籍総数","0","総数","057","56歳","00000","全国","2020000000","2020年","人","1582910"
"2020_01","人口","0","国籍総数","0","総数","058","57歳","00000","全国","2020000000","2020年","人","1542017"
"2020_01","人口","0","国籍総数","0","総数","059","58歳","00000","全国","2020000000","2020年","人","1491947"
"2020_01","人口","0","国籍総数","0","総数","060","59歳","00000","全国","2020000000","2020年","人","1461318"
"2020_01","人口","0","国籍総数","0","総数","061","60歳","00000","全国","2020000000","2020年","人","1469672"
"2020_01","人口","0","国籍総数","0","総数","062","61歳","00000","全国","2020000000","2020年","人","1494495"
"2020_01","人口","0","国籍総数","0","総数","063","62歳","00000","全国","2020000000","2020年","人","1450282"
"2020_01","人口","0","国籍総数","0","総数","064","63歳","00000","全国","2020000000","2020年","人","1407740"
"2020_01","人口","0","国籍総数","0","総数","065","64歳","00000","全国","2020000000","2020年","人","1475001"
"2020_01","人口","0","国籍総数","0","総数","066","65歳","00000","全国","2020000000","2020年","人","1516441"
"2020_01","人口","0","国籍総数","0","総数","067","66歳","00000","全国","2020000000","2020年","人","1512118"
"2020_01","人口","0","国籍総数","0","総数","068","67歳","00000","全国","2020000000","2020年","人","1598839"
"2020_01","人口","0","国籍総数","0","総数","069","68歳","00000","全国","2020000000","2020年","人","1679855"
"2020_01","人口","0","国籍総数","0","総数","070","69歳","00000","全国","2020000000","2020年","人","1768015"
"2020_01","人口","0","国籍総数","0","総数","071","70歳","00000","全国","2020000000","2020年","人","1886160"
"2020_01","人口","0","国籍総数","0","総数","072","71歳","00000","全国","2020000000","2020年","人","2052521"
"2020_01","人口","0","国籍総数","0","総数","073","72歳","00000","全国","2020000000","2020年","人","2014143"
"2020_01","人口","0","国籍総数","0","総数","074","73歳","00000","全国","2020000000","2020年","人","1893386"
"2020_01","人口","0","国籍総数","0","総数","075","74歳","00000","全国","2020000000","2020年","人","1165585"
"2020_01","人口","0","国籍総数","0","総数","076","75歳","00000","全国","2020000000","2020年","人","1234832"
"2020_01","人口","0","国籍総数","0","総数","077","76歳","00000","全国","2020000000","2020年","人","1488292"
"2020_01","人口","0","国籍総数","0","総数","078","77歳","00000","全国","2020000000","2020年","人","1416571"
"2020_01","人口","0","国籍総数","0","総数","079","78歳","00000","全国","2020000000","2020年","人","1430462"
"2020_01","人口","0","国籍総数","0","総数","080","79歳","00000","全国","2020000000","2020年","人","1360771"
"2020_01","人口","0","国籍総数","0","総数","081","80歳","00000","全国","2020000000","2020年","人","1206058"
"2020_01","人口","0","国籍総数","0","総数","082","81歳","00000","全国","2020000000","2020年","人","1017635"
"2020_01","人口","0","国籍総数","0","総数","083","82歳","00000","全国","2020000000","2020年","人","1048747"
"2020_01","人口","0","国籍総数","0","総数","084","83歳","00000","全国","2020000000","2020年","人","1035057"
"2020_01","人口","0","国籍総数","0","総数","085","84歳","00000","全国","2020000000","2020年","人","989231"
"2020_01","人口","0","国籍総数","0","総数","086","85歳","00000","全国","2020000000","2020年","人","893754"
"2020_01","人口","0","国籍総数","0","総数","087","86歳","00000","全国","2020000000","2020年","人","794162"
"2020_01","人口","0","国籍総数","0","総数","088","87歳","00000","全国","2020000000","2020年","人","739149"
"2020_01","人口","0","国籍総数","0","総数","089","88歳","00000","全国","2020000000","2020年","人","662252"
"2020_01","人口","0","国籍総数","0","総数","090","89歳","00000","全国","2020000000","2020年","人","580506"
"2020_01","人口","0","国籍総数","0","総数","091","90歳","00000","全国","2020000000","2020年","人","493824"
"2020_01","人口","0","国籍総数","0","総数","092","91歳","00000","全国","2020000000","2020年","人","425042"
"2020_01","人口","0","国籍総数","0","総数","093","92歳","00000","全国","2020000000","2020年","人","358386"
"2020_01","人口","0","国籍総数","0","総数","094","93歳","00000","全国","2020000000","2020年","人","277613"
"2020_01","人口","0","国籍総数","0","総数","095","94歳","00000","全国","2020000000","2020年","人","224151"
"2020_01","人口","0","国籍総数","0","総数","096","95歳","00000","全国","2020000000","2020年","人","169988"
"2020_01","人口","0","国籍総数","0","総数","097","96歳","00000","全国","2020000000","2020年","人","123057"
"2020_01","人口","0","国籍総数","0","総数","098","97歳","00000","全国","2020000000","2020年","人","90075"
"2020_01","人口","0","国籍総数","0","総数","099","98歳","00000","全国","2020000000","2020年","人","64897"
"2020_01","人口","0","国籍総数","0","総数","100","99歳","00000","全国","2020000000","2020年","人","44707"
"2020_01","人口","0","国籍総数","0","総数","101","100歳","00000","全国","2020000000","2020年","人","32032"
"2020_01","人口","0","国籍総数","0","総数","102","101歳","00000","全国","2020000000","2020年","人","17112"
"2020_01","人口","0","国籍総数","0","総数","103","102歳","00000","全国","2020000000","2020年","人","11855"
"2020_01","人口","0","国籍総数","0","総数","104","103歳","00000","全国","2020000000","2020年","人","7304"
"2020_01","人口","0","国籍総数","0","総数","105","104歳","00000","全国","2020000000","2020年","人","4705"
"2020_01","人口","0","国籍総数","0","総数","106","105歳","00000","全国","2020000000","2020年","人","2824"
"2020_01","人口","0","国籍総数","0","総数","107","106歳","00000","全国","2020000000","2020年","人","1724"
"2020_01","人口","0","国籍総数","0","総数","108","107歳","00000","全国","2020000000","2020年","人","1058"
"2020_01","人口","0","国籍総数","0","総数","109","108歳","00000","全国","2020000000","2020年","人","557"
"2020_01","人口","0","国籍総数","0","総数","110","109歳","00000","全国","2020000000","2020年","人","211"
"2020_01","人口","0","国籍総数","0","総数","111","110歳以上","00000","全国","2020000000","2020年","人","141"
